Date,Parish,Latitude,Longitude,PM2.5
2011/1,Alexandria,31.3113,-92.4451,7.8
2011/2,Alexandria,31.3113,-92.4451,6.477777778
2011/3,Alexandria,31.3113,-92.4451,9.890909091
2011/4,Alexandria,31.3113,-92.4451,9.21
2011/5,Alexandria,31.3113,-92.4451,7.86
2011/6,Alexandria,31.3113,-92.4451,11.39
2011/7,Alexandria,31.3113,-92.4451,7.32
2011/8,Alexandria,31.3113,-92.4451,11.71818182
2011/9,Alexandria,31.3113,-92.4451,9.588888889
2011/10,Alexandria,31.3113,-92.4451,8.691666667
2011/11,Alexandria,31.3113,-92.4451,6.144444444
2011/12,Alexandria,31.3113,-92.4451,6.438461538
2011/1,BatonRouge,30.4507,-91.1546,9.538709677
2011/2,BatonRouge,30.4507,-91.1546,9.2
2011/3,BatonRouge,30.4507,-91.1546,9.309677419
2011/4,BatonRouge,30.4507,-91.1546,9.776666667
2011/5,BatonRouge,30.4507,-91.1546,9.667741935
2011/6,BatonRouge,30.4507,-91.1546,12.78333333
2011/7,BatonRouge,30.4507,-91.1546,9.183870968
2011/8,BatonRouge,30.4507,-91.1546,13.93333333
2011/9,BatonRouge,30.4507,-91.1546,11.08275862
2011/10,BatonRouge,30.4507,-91.1546,10.77419355
2011/11,BatonRouge,30.4507,-91.1546,7.671428571
2011/12,BatonRouge,30.4507,-91.1546,8.016129032
2011/1,BayouPlaquemine,30.287,-91.2423,7.74
2011/2,BayouPlaquemine,30.287,-91.2423,8.655555556
2011/3,BayouPlaquemine,30.287,-91.2423,8.463636364
2011/4,BayouPlaquemine,30.287,-91.2423,9.88
2011/5,BayouPlaquemine,30.287,-91.2423,8.944444444
2011/6,BayouPlaquemine,30.287,-91.2423,11.7
2011/7,BayouPlaquemine,30.287,-91.2423,6.86
2011/8,BayouPlaquemine,30.287,-91.2423,12.33636364
2011/9,BayouPlaquemine,30.287,-91.2423,10.93
2011/10,BayouPlaquemine,30.287,-91.2423,9.79
2011/11,BayouPlaquemine,30.287,-91.2423,7.6
2011/12,BayouPlaquemine,30.287,-91.2423,9.15
2011/1,Chalmette,29.9336,-89.9636,8.78
2011/2,Chalmette,29.9336,-89.9636,9.82
2011/3,Chalmette,29.9336,-89.9636,10.66
2011/4,Chalmette,29.9336,-89.9636,12.06
2011/5,Chalmette,29.9336,-89.9636,14.58
2011/6,Chalmette,29.9336,-89.9636,13.975
2011/7,Chalmette,29.9336,-89.9636,8.72
2011/8,Chalmette,29.9336,-89.9636,13.56666667
2011/9,Chalmette,29.9336,-89.9636,13.34
2011/10,Chalmette,29.9336,-89.9636,8.56
2011/11,Chalmette,29.9336,-89.9636,7.2
2011/12,Chalmette,29.9336,-89.9636,7.4
2011/1,Geismer,30.1797,-90.9789,9.87
2011/2,Geismer,30.1797,-90.9789,8.944444444
