CountyFIPS_Year,County,PM2.5Value,Year,CancerRate,CancerCount,TotalPopulation,COPDCount
22001_2010,ACADIA,9.7,2010,78.9,54,61876,246
22001_2011,ACADIA,9.4,2011,80.9,54,61872,206
22003_2010,ALLEN,9.6,2010,73.8,20,25704,87
22001_2012,ACADIA,9.5,2012,77.6,53,62007,231
22001_2013,ACADIA,9.4,2013,86,58,62310,214
22005_2010,ASCENSION,12.6,2010,67.1,59,107894,121
22001_2014,ACADIA,9.4,2014,78.9,55,62681,198
22001_2015,ACADIA,9.1,2015,74.2,53,62696,185
22007_2010,ASSUMPTION,11.3,2010,72.6,19,23332,41
22001_2016,ACADIA,8.7,2016,90.4,64,62830,203
22001_2017,ACADIA,9,2017,75.3,58,62581,197
22009_2010,AVOYELLES,9.8,2010,82.1,40,42115,104
22001_2018,ACADIA,9.5,2018,65,50,62315,169
22001_2019,ACADIA,8.6,2019,66.7,54,62207,146
22011_2010,BEAUREGARD,9.9,2010,85.4,32,35832,148
22003_2011,ALLEN,9.2,2011,77,21,25740,76
22013_2010,BIENVILLE,10.2,2010,77.1,16,14307,56
22003_2012,ALLEN,9,2012,62.7,17,25619,131
22003_2013,ALLEN,9.1,2013,72.7,21,25660,108
22015_2010,BOSSIER,10.7,2010,82.7,98,117637,293
22003_2014,ALLEN,9.2,2014,65.8,19,25710,96
22003_2015,ALLEN,8.9,2015,78.9,22,25630,72
22017_2010,CADDO,11.2,2010,67.8,194,255652,635
22003_2016,ALLEN,8.5,2016,66.9,21,25696,94
22003_2017,ALLEN,8.8,2017,77.1,23,25595,171
22019_2010,CALCASIEU,9.6,2010,78.6,163,193023,479
22003_2018,ALLEN,9.5,2018,^,^,25535,122
22021_2010,CALDWELL,9.5,2010,^,^,10148,32
22003_2019,ALLEN,8.5,2019,79.7,24,25594,79
22023_2010,CAMERON,9.9,2010,^,^,6915,10
22005_2011,ASCENSION,11.7,2011,77.8,72,110084,139
22005_2012,ASCENSION,10.7,2012,61,59,112238,107
22025_2010,CATAHOULA,9.4,2010,^,^,10379,36
22005_2013,ASCENSION,9.7,2013,57.8,59,114665,96
22005_2014,ASCENSION,10,2014,69.2,73,117318,74
22027_2010,CLAIBORNE,10.2,2010,72.4,16,17174,8
22005_2015,ASCENSION,10.2,2015,55.7,65,119417,85
22005_2016,ASCENSION,10.1,2016,72.6,76,121646,104
22029_2010,CONCORDIA,9.5,2010,89.7,22,20840,38
22005_2017,ASCENSION,9.9,2017,59.7,70,123237,95
22005_2018,ASCENSION,10.3,2018,65.4,82,124961,111
22031_2010,DE SOTO,10.4,2010,74.6,24,26670,86
22005_2019,ASCENSION,9.6,2019,60.9,79,126798,105
22033_2010,EAST BATON ROUGE,10.7,2010,59.1,246,440937,492
22007_2011,ASSUMPTION,10.5,2011,84.5,23,23186,53
22007_2012,ASSUMPTION,10,2012,89.2,26,23071,51
22035_2010,EAST CARROLL,10.2,2010,^,^,7737,8
22007_2013,ASSUMPTION,9.5,2013,77.8,21,23201,43
22007_2014,ASSUMPTION,9.3,2014,98.1,26,23052,42
22037_2010,EAST FELICIANA,10.2,2010,69.6,17,20150,68
22007_2015,ASSUMPTION,9.3,2015,^,^,22902,37
22007_2016,ASSUMPTION,9,2016,71.9,21,22773,51
22039_2010,EVANGELINE,9.7,2010,89.1,33,33954,137
22007_2017,ASSUMPTION,9.1,2017,54.4,16,22586,49
22041_2010,FRANKLIN,9.9,2010,104,28,20810,117
22007_2018,ASSUMPTION,9.5,2018,68.9,21,22280,39
22007_2019,ASSUMPTION,8.6,2019,93.3,27,21921,41
22043_2010,GRANT,9.8,2010,139.7,32,22346,55
22009_2011,AVOYELLES,9.3,2011,94.8,47,41805,141
22045_2010,IBERIA,10.3,2010,68.1,52,72882,177
22009_2012,AVOYELLES,9.2,2012,74.6,38,41584,158
22009_2013,AVOYELLES,8.8,2013,85,43,41288,115
22047_2010,IBERVILLE,10.6,2010,82.4,31,33389,44
22009_2014,AVOYELLES,9.2,2014,79.4,39,41101,97
22009_2015,AVOYELLES,8.9,2015,69.1,36,40992,106
22049_2010,JACKSON,10,2010,77.6,16,16309,102
22009_2016,AVOYELLES,8.8,2016,84.5,45,40970,98
22009_2017,AVOYELLES,8.8,2017,75.6,42,40840,148
22051_2010,JEFFERSON,9.6,2010,71.3,349,432618,795
22009_2018,AVOYELLES,9.4,2018,62.8,35,40410,119
22009_2019,AVOYELLES,8.4,2019,63.2,34,40138,74
22053_2010,JEFFERSON DAVIS,9.6,2010,78.9,29,31629,134
22011_2011,BEAUREGARD,9.8,2011,72.6,29,36101,158
22055_2010,LAFAYETTE,9.7,2010,71.5,143,222513,399
22011_2012,BEAUREGARD,9.4,2012,64.7,26,36346,167
22011_2013,BEAUREGARD,9.5,2013,92.4,40,36281,185
22057_2010,LAFOURCHE,10.3,2010,89.2,89,96693,261
22011_2014,BEAUREGARD,9.4,2014,71.3,31,36264,165
22011_2015,BEAUREGARD,9.1,2015,57.3,25,36557,168
22061_2010,LINCOLN,10.3,2010,80.9,34,46854,81
22011_2016,BEAUREGARD,8.6,2016,81.4,36,37028,127
22011_2017,BEAUREGARD,9.2,2017,81.5,37,36885,172
22063_2010,LIVINGSTON,10.7,2010,69.2,80,128351,355
22011_2018,BEAUREGARD,10,2018,77.2,36,37491,136
22011_2019,BEAUREGARD,8.9,2019,54.3,25,37649,79
22065_2010,MADISON,9.9,2010,^,^,12107,28
22013_2011,BIENVILLE,9.9,2011,95.9,20,14262,53
22067_2010,MOREHOUSE,10.5,2010,70.8,24,27873,24
22013_2012,BIENVILLE,10.1,2012,95.2,19,14195,53
22013_2013,BIENVILLE,10,2013,^,^,13966,47
22069_2010,NATCHITOCHES,10.2,2010,95.9,42,39523,81
22013_2014,BIENVILLE,9.7,2014,85.9,18,13789,38
22013_2015,BIENVILLE,9.5,2015,79.4,17,13828,38
22071_2010,ORLEANS,9.9,2010,73.8,248,347789,455
22013_2016,BIENVILLE,9.4,2016,^,^,13796,48
22013_2017,BIENVILLE,9.7,2017,^,^,13640,37
22073_2010,OUACHITA,9.6,2010,85.2,133,153966,417
22013_2018,BIENVILLE,10.1,2018,^,^,13303,28
22013_2019,BIENVILLE,9.7,2019,81.5,17,13234,42
22075_2010,PLAQUEMINES,9.3,2010,75.4,16,23120,50
22015_2011,BOSSIER,11,2011,78.9,91,120122,279
22077_2010,POINTE COUPEE,10.5,2010,^,^,22814,21
22015_2012,BOSSIER,10.9,2012,80.5,103,123177,237
22015_2013,BOSSIER,10.6,2013,66.5,86,124049,246
22079_2010,RAPIDES,9.2,2010,60.9,88,131742,294
22015_2014,BOSSIER,10.3,2014,50.3,67,124922,247
22081_2010,RED RIVER,10,2010,^,^,9099,21
22015_2015,BOSSIER,10.1,2015,73.6,100,125634,320
22015_2016,BOSSIER,9.9,2016,60.3,84,125946,409
22083_2010,RICHLAND,10.1,2010,77.2,18,20757,105
22015_2017,BOSSIER,10.2,2017,70.4,99,127011,242
22015_2018,BOSSIER,10.5,2018,60.4,87,127153,238
22085_2010,SABINE,9.8,2010,70.2,23,24230,68
22015_2019,BOSSIER,10.3,2019,73.6,110,127377,255
22017_2011,CADDO,12.2,2011,69.2,199,257058,601
22017_2012,CADDO,12.8,2012,72.7,216,257367,577
22017_2013,CADDO,11,2013,65.7,199,255248,582
22017_2014,CADDO,10.1,2014,78.3,236,252740,617
22017_2015,CADDO,10.5,2015,67.5,209,251499,723
22017_2016,CADDO,10,2016,72.6,227,249024,653
22017_2017,CADDO,10.8,2017,67.4,215,246177,530
22017_2018,CADDO,10.7,2018,63.6,207,243105,533
22105_2010,TANGIPAHOA,9,2010,81.5,99,121463,447
22017_2019,CADDO,10.7,2019,68.2,218,240431,536
22107_2010,TENSAS,9.6,2010,^,^,5229,14
22019_2011,CALCASIEU,9,2011,65.1,134,193881,514
22019_2012,CALCASIEU,8.3,2012,66,141,194516,565
22109_2010,TERREBONNE,8.8,2010,74.3,83,111552,222
22019_2013,CALCASIEU,8,2013,66.3,148,195550,532
22019_2014,CALCASIEU,7.4,2014,62.4,142,196641,476
22019_2015,CALCASIEU,7.3,2015,71.4,166,198542,399
22019_2016,CALCASIEU,7.6,2016,64.2,144,200780,383
22019_2017,CALCASIEU,7.7,2017,72.4,174,202653,404
22019_2018,CALCASIEU,7.9,2018,65.2,158,203507,225
22019_2019,CALCASIEU,6.8,2019,72.7,175,204038,213
22021_2011,CALDWELL,9.1,2011,^,^,10123,23
22021_2012,CALDWELL,9.2,2012,^,^,10040,26
22021_2013,CALDWELL,9.2,2013,^,^,9986,23
22021_2014,CALDWELL,9.2,2014,^,^,9953,20
22021_2015,CALDWELL,8.9,2015,^,^,10048,20
22021_2016,CALDWELL,8.6,2016,^,^,10069,28
22021_2017,CALDWELL,8.7,2017,^,^,9962,24
22021_2018,CALDWELL,9.1,2018,^,^,9979,15
22021_2019,CALDWELL,8.6,2019,121.9,16,9946,27
22023_2011,CAMERON,9.6,2011,^,^,6672,9
22023_2012,CAMERON,8.3,2012,^,^,6630,12
22023_2013,CAMERON,9.2,2013,^,^,6711,9
